レベル,問題,回答,正誤,回答時間,スコア
レベル,問題,回答,正誤,回答時間,スコア
レベル,問題,回答,正誤,回答時間,スコア
7,9時15分,9時15分,○,163.17,1200
7,6時0分,6時0分,○,4.61,2720
9,12時0分,12時0分,○,2.72,4460
12,5時0分,5時0分,○,3.67,6420
12,6時0分,6時0分,○,4.23,8420
12,12時50分,12時50分,○,3.05,10820
12,3時50分,3時50分,○,4.69,13440
12,11時0分,11時0分,○,3.42,16280
12,6時15分,6時15分,○,4.78,19080
12,3時20分,3時20分,○,4.49,22080
12,7時50分,7時50分,○,5.71,25280
12,8時20分,8時20分,○,4.03,29000
12,10時0分,8時20分,--,--,29000,タイムアップ
レベル,問題,回答,正誤,回答時間,スコア
レベル,問題,回答,正誤,回答時間,スコア
レベル,問題,回答,正誤,回答時間,スコア
1,9時15分,9時15分,○,30.68,1200
1,12時0分,2時15分,✕,12.23,1200
1,12時0分,12時0分,○,8.81,2400
2,6時0分,6時0分,○,2.52,4160
5,4時15分,4時15分,○,2.36,6040
8,8時55分,8時55分,○,2.19,8160
レベル,問題,回答,正誤,回答時間,スコア
レベル,問題,回答,正誤,回答時間,スコア
1,9時15分,9時15分,○,46.60,1200
1,6時0分,6時0分,○,4.38,2840
3,6時0分,6時0分,○,2.71,4720
6,6時30分,6時30分,○,3.72,6520
8,8時0分,8時0分,○,3.69,8880
10,11時40分,11時40分,○,7.50,11280
11,8時35分,8時35分,○,7.80,13680
12,1時35分,1時40分,✕,6.83,13680
9,12時40分,12時40分,○,3.38,14980
11,6時0分,6時0分,○,4.35,16620
12,5時25分,5時25分,○,6.89,18220
12,5時25分,5時25分,--,--,18220,タイムアップ
レベル,問題,回答,正誤,回答時間,スコア
レベル,問題,回答,正誤,回答時間,スコア
1,9時15分,9時15分,○,6.97,1200
2,9時0分,9時0分,○,3.21,2840
4,12時0分,12時0分,○,4.05,4720
6,7時45分,7時45分,○,3.89,6680
8,3時50分,3時50分,○,5.53,8680
レベル,問題,回答,正誤,回答時間,スコア
1,9時15分,9時15分,○,10.83,1200
1,6時0分,6時0分,○,4.75,2840
3,12時0分,12時0分,○,2.84,4580
6,10時45分,10時45分,○,3.18,6540
8,4時35分,4時35分,○,3.68,8900
10,3時10分,3時10分,○,6.76,11300
11,9時25分,9時25分,○,6.96,13920
